color,center,shape
green,[ 7 69],rectangle
blue,[68 14],circle
orange,[50 31],circle
gray,[40 62],rectangle
yellow,[18 38],circle
red,[35 64],circle
green,[53 67],rectangle
blue,[26 28],rectangle
orange,[23 52],rectangle
gray,[49 37],rectangle
yellow,[ 8 24],circle
red,[43 39],rectangle
green,[61 45],rectangle
blue,[64 64],rectangle
orange,[28 40],rectangle
gray,[11 39],rectangle
yellow,[18 14],rectangle
red,[16 65],rectangle
green,[54 37],circle
blue,[65 65],circle
orange,[53 21],circle
gray,[69  9],circle
yellow,[11 25],rectangle
red,[45 40],rectangle
green,[59 13],rectangle
blue,[ 6 11],circle
orange,[ 7 31],rectangle
gray,[36 52],rectangle
yellow,[36 13],circle
red,[51  7],circle
green,[34 25],rectangle
blue,[66 37],rectangle
orange,[45 55],rectangle
gray,[62 61],rectangle
yellow,[15 19],rectangle
red,[27 63],rectangle
green,[50 42],rectangle
blue,[66 39],rectangle
orange,[29 44],circle
gray,[30 26],circle
yellow,[55  7],circle
red,[45 59],circle
green,[66 52],rectangle
blue,[39 15],circle
orange,[54 25],rectangle
gray,[24 48],rectangle
yellow,[65 13],circle
red,[21 65],rectangle
green,[31 12],rectangle
blue,[69 61],rectangle
orange,[39 52],rectangle
gray,[66 12],rectangle
yellow,[45 21],rectangle
red,[22 37],rectangle
green,[44 19],circle
blue,[ 6 67],circle
orange,[18 55],circle
gray,[ 7 31],circle
yellow,[69 59],circle
red,[37 28],rectangle
green,[60 32],rectangle
blue,[41 60],circle
orange,[15 53],rectangle
gray,[68 12],rectangle
yellow,[60 69],rectangle
red,[51 21],rectangle
green,[26 41],rectangle
blue,[57 55],rectangle
orange,[36 55],rectangle
gray,[ 5 67],rectangle
yellow,[17 15],rectangle
red,[50 16],circle
green,[23 30],circle
blue,[56 59],rectangle
orange,[37 66],circle
gray,[11 39],rectangle
yellow,[67 42],rectangle
red,[ 5 40],circle
green,[67 27],rectangle
blue,[50  8],rectangle
orange,[ 7 18],circle
gray,[49 38],rectangle
yellow,[20 44],rectangle
red,[36 18],rectangle
green,[57 28],rectangle
blue,[34 67],rectangle
orange,[63 12],rectangle
gray,[35 38],rectangle
yellow,[53 61],rectangle
red,[37 64],circle
green,[59 14],rectangle
blue,[25 17],rectangle
orange,[21 51],circle
gray,[41 46],rectangle
yellow,[52 32],circle
red,[17 61],circle
green,[58 14],circle
blue,[51 57],circle
orange,[17 41],circle
gray,[ 6 18],rectangle
yellow,[29  7],rectangle
red,[47 11],circle
green,[55 36],circle
blue,[49 63],rectangle
orange,[33 33],rectangle
gray,[32 48],rectangle
yellow,[13  9],circle
red,[ 9 56],rectangle
green,[58 37],circle
blue,[31 19],rectangle
orange,[25 50],rectangle
gray,[42 66],circle
yellow,[50 17],rectangle
red,[21 47],circle
green,[38 12],rectangle
blue,[12 69],rectangle
orange,[63 48],rectangle
gray,[40 32],rectangle
yellow,[47 46],rectangle
red,[57 69],rectangle
green,[62 30],circle
blue,[14 63],rectangle
orange,[21 26],circle
gray,[45 15],circle
yellow,[25  8],circle
red,[45 61],circle
green,[64 58],rectangle
blue,[61 14],rectangle
orange,[ 7 55],rectangle
gray,[42 40],circle
yellow,[66 29],rectangle
red,[40 19],circle
green,[ 5 27],rectangle
blue,[61 38],circle
orange,[17 10],circle
gray,[ 7 67],circle
yellow,[51 59],circle
red,[47 24],circle
green,[ 6 26],circle
blue,[11 60],circle
orange,[10  9],circle
gray,[63 37],rectangle
yellow,[23 51],rectangle
red,[39  6],rectangle
green,[42 26],rectangle
blue,[59 43],rectangle
orange,[24 45],rectangle
gray,[52 63],rectangle
yellow,[ 6 33],rectangle
red,[29 32],circle
green,[ 8 31],rectangle
blue,[21 47],circle
orange,[46 54],circle
gray,[65 54],circle
yellow,[62 37],circle
red,[44 40],circle
green,[41 22],circle
blue,[26 15],circle
orange,[ 8 11],rectangle
gray,[58  5],circle
yellow,[42  5],circle
red,[65 13],rectangle
green,[39 43],rectangle
blue,[ 9 46],circle
orange,[34 61],rectangle
gray,[50 27],rectangle
yellow,[10 22],rectangle
red,[ 5 38],rectangle
green,[52 53],rectangle
blue,[65 33],rectangle
orange,[30 21],rectangle
gray,[30 53],circle
yellow,[57 69],rectangle
red,[52 12],circle
green,[61 40],circle
blue,[49 49],circle
orange,[24 68],circle
gray,[ 7 58],circle
yellow,[59 66],rectangle
red,[33 62],circle
green,[ 7 25],circle
blue,[46 46],rectangle
orange,[15 58],rectangle
gray,[63 61],rectangle
yellow,[63  6],rectangle
red,[27 37],rectangle
green,[ 5 41],rectangle
blue,[ 9 64],rectangle
orange,[54 52],rectangle
gray,[33 22],circle
yellow,[52 31],circle
red,[65 33],circle
green,[47 65],rectangle
blue,[24 52],circle
orange,[28 15],circle
gray,[67 63],rectangle
yellow,[54  8],circle
red,[16 44],circle
green,[42  7],circle
blue,[53 40],rectangle
orange,[26 24],rectangle
gray,[59 20],circle
yellow,[63 60],rectangle
red,[ 7 41],circle
green,[44 44],rectangle
blue,[27 15],rectangle
orange,[12 60],rectangle
gray,[68 42],circle
yellow,[50 66],rectangle
red,[52 22],rectangle
green,[43 63],circle
blue,[10 64],rectangle
orange,[58  8],circle
gray,[29 36],rectangle
yellow,[67 42],circle
red,[58 40],rectangle
green,[19 21],rectangle
blue,[27 50],circle
orange,[63 63],circle
gray,[32 65],rectangle
yellow,[34 17],circle
red,[16 69],circle
green,[46 66],rectangle
blue,[47 21],rectangle
orange,[60 10],rectangle
gray,[58 53],rectangle
yellow,[15 53],rectangle
red,[44 67],circle
green,[ 8 42],rectangle
blue,[13 20],circle
orange,[35 18],rectangle
gray,[68 14],rectangle
yellow,[62 31],rectangle
red,[ 9 51],rectangle
green,[22 25],circle
blue,[27 68],circle
orange,[65 68],rectangle
gray,[41 60],rectangle
yellow,[63  6],circle
red,[17 21],circle
green,[49 10],circle
blue,[18 65],circle
orange,[35 39],rectangle
gray,[62 53],rectangle
yellow,[63 68],circle
red,[63 20],rectangle
green,[49 32],circle
blue,[35  7],rectangle
orange,[22 43],circle
gray,[47 49],circle
yellow,[10 60],circle
red,[18 22],rectangle
green,[27 51],rectangle
blue,[34 29],rectangle
orange,[52 14],rectangle
gray,[68 68],rectangle
yellow,[46 58],rectangle
red,[34 27],rectangle
green,[56 41],circle
blue,[19 51],circle
orange,[29 67],rectangle
gray,[34 49],rectangle
yellow,[47 66],circle
red,[35 57],circle
green,[63 14],rectangle
blue,[20 20],rectangle
orange,[35  5],rectangle
gray,[ 8 30],circle
yellow,[16 69],circle
red,[26 61],circle
green,[31 45],circle
blue,[36 16],rectangle
orange,[14 52],rectangle
gray,[64 69],circle
yellow,[16 32],rectangle
red,[45 58],circle
green,[ 9 31],rectangle
blue,[47 35],rectangle
orange,[58 66],circle
gray,[44 17],circle
yellow,[33 29],rectangle
red,[24 43],circle
green,[47 17],circle
blue,[61 56],rectangle
orange,[47 46],circle
gray,[30 27],circle
yellow,[24 60],rectangle
red,[58 61],circle
green,[ 8 53],circle
blue,[49 27],rectangle
orange,[29 58],rectangle
gray,[21 34],circle
yellow,[68 42],rectangle
red,[31 36],circle
green,[33 20],circle
blue,[63 35],circle
orange,[52 50],circle
gray,[43  8],rectangle
yellow,[62 10],circle
red,[15 26],rectangle
green,[10 46],circle
blue,[61 59],rectangle
orange,[32 55],circle
gray,[13 62],rectangle
yellow,[43 19],circle
red,[60 54],rectangle
green,[64 30],circle
blue,[45 40],rectangle
orange,[47 10],circle
gray,[22 66],rectangle
yellow,[32 22],circle
red,[57 30],circle
green,[49 48],rectangle
blue,[69 55],circle
orange,[27 60],circle
gray,[23 32],circle
yellow,[69 10],rectangle
red,[45 29],rectangle
green,[45 10],circle
blue,[28 23],circle
orange,[39 66],circle
gray,[29 49],rectangle
yellow,[ 5 46],rectangle
red,[22  6],circle
green,[ 8 46],circle
blue,[65 12],circle
orange,[41 56],circle
gray,[60 64],rectangle
yellow,[27 33],rectangle
red,[34 53],rectangle
green,[55 46],circle
blue,[49 11],circle
orange,[29 10],circle
gray,[10 33],rectangle
yellow,[28 30],rectangle
red,[41 63],circle
green,[52  9],circle
blue,[ 7 51],rectangle
orange,[18 67],circle
gray,[65 35],rectangle
yellow,[28 27],circle
red,[65 26],rectangle
green,[20 54],circle
blue,[47 21],rectangle
orange,[6 8],circle
gray,[10 24],rectangle
yellow,[55 41],rectangle
red,[60 22],rectangle
green,[47 43],circle
blue,[22 27],circle
orange,[34 62],rectangle
gray,[22 11],circle
yellow,[69 53],circle
red,[42 18],circle
green,[60 26],circle
blue,[23 61],rectangle
orange,[56 41],rectangle
gray,[ 5 25],circle
yellow,[65 58],rectangle
red,[40 59],rectangle
green,[61 65],circle
blue,[42 33],rectangle
orange,[27  7],circle
gray,[11  5],circle
yellow,[56 10],rectangle
red,[42 45],rectangle
green,[44 21],rectangle
blue,[61  6],rectangle
orange,[21 54],circle
gray,[44 62],circle
yellow,[25 22],circle
red,[46 23],circle
green,[37 53],rectangle
blue,[ 7 53],circle
orange,[56 11],rectangle
gray,[20 28],circle
yellow,[62 33],rectangle
red,[27 52],circle
green,[50  7],rectangle
blue,[10 68],rectangle
orange,[22 16],circle
gray,[55 52],circle
yellow,[63 15],rectangle
red,[17  8],circle
green,[12 55],rectangle
blue,[61 16],rectangle
orange,[12 40],rectangle
gray,[43 24],circle
yellow,[42 42],rectangle
red,[56 35],rectangle
green,[37  6],rectangle
blue,[37 39],circle
orange,[22 34],rectangle
gray,[14 56],circle
yellow,[46 23],circle
red,[27 44],circle
green,[36 19],circle
blue,[ 9 56],circle
orange,[57 54],circle
gray,[19 69],rectangle
yellow,[35 57],rectangle
red,[58 55],rectangle
green,[ 8 22],rectangle
blue,[40 29],rectangle
orange,[40 13],circle
gray,[22 47],circle
yellow,[67  8],rectangle
red,[31 68],rectangle
green,[34 40],circle
blue,[53 59],rectangle
orange,[25 21],rectangle
gray,[49 22],rectangle
yellow,[11 48],rectangle
red,[17 66],rectangle
green,[53 40],rectangle
blue,[14 10],circle
orange,[62 25],circle
gray,[32  9],rectangle
yellow,[22 51],rectangle
red,[ 6 67],circle
green,[23 21],rectangle
blue,[43 40],rectangle
orange,[ 8 29],circle
gray,[33 55],rectangle
yellow,[61 16],rectangle
red,[40 22],rectangle
green,[63 13],circle
blue,[55 39],circle
orange,[18 34],circle
gray,[68 29],circle
yellow,[27 52],circle
red,[36  7],rectangle
green,[55 52],rectangle
blue,[17  8],rectangle
orange,[21 56],rectangle
gray,[13 25],rectangle
yellow,[63  7],rectangle
red,[16 17],circle
green,[61 44],rectangle
blue,[15 60],circle
orange,[38 35],rectangle
gray,[45 67],circle
yellow,[49 15],rectangle
red,[57 49],circle
green,[65 62],circle
blue,[30 11],rectangle
orange,[42 57],circle
gray,[8 7],circle
yellow,[62 31],rectangle
red,[ 9 65],circle
green,[30  9],rectangle
blue,[20 41],rectangle
orange,[51 17],rectangle
gray,[58 31],circle
yellow,[62 66],rectangle
red,[33 55],rectangle
green,[ 9 46],rectangle
blue,[40 31],circle
orange,[56 29],rectangle
gray,[10 62],circle
yellow,[62  6],rectangle
red,[17 14],rectangle
green,[45 54],circle
blue,[63 43],circle
orange,[11 53],circle
gray,[52  6],circle
yellow,[36  8],circle
red,[51 43],rectangle
green,[21 64],circle
blue,[53  6],circle
orange,[62 62],rectangle
gray,[ 6 45],circle
yellow,[20  8],circle
red,[66 68],rectangle
green,[62 24],circle
blue,[41 12],circle
orange,[ 9 35],rectangle
gray,[36 37],rectangle
yellow,[ 7 61],rectangle
red,[61 28],rectangle
green,[47 64],circle
blue,[46 15],circle
orange,[22 56],rectangle
gray,[24 29],circle
yellow,[31 44],circle
red,[43 37],rectangle
green,[69 42],rectangle
blue,[10 50],circle
orange,[22 31],circle
gray,[21 66],rectangle
yellow,[26 10],rectangle
red,[ 5 67],rectangle
green,[16 45],rectangle
blue,[49 52],rectangle
orange,[26 15],circle
gray,[50 33],rectangle
yellow,[53 68],circle
red,[50 34],rectangle
green,[15 35],circle
blue,[15  6],circle
orange,[31  6],circle
gray,[25 62],rectangle
yellow,[65 42],circle
red,[43 50],circle
green,[13 54],circle
blue,[19 40],rectangle
orange,[45 28],circle
gray,[22 11],rectangle
yellow,[64 59],rectangle
red,[15 20],rectangle
green,[20 44],rectangle
blue,[39 25],circle
orange,[45 10],rectangle
gray,[65 42],rectangle
yellow,[49 51],rectangle
red,[67 15],circle
green,[23 16],circle
blue,[47 41],circle
orange,[27 63],circle
gray,[67 57],circle
yellow,[60 32],circle
red,[27 33],rectangle
green,[11 32],rectangle
blue,[44 51],rectangle
orange,[28 69],circle
gray,[61 32],circle
yellow,[46 32],rectangle
red,[11 27],circle
green,[38 23],circle
blue,[52 45],rectangle
orange,[23 43],rectangle
gray,[31 67],rectangle
yellow,[ 7 52],circle
red,[29 66],rectangle
green,[28 50],rectangle
blue,[52 12],rectangle
orange,[50 42],circle
gray,[38 21],circle
yellow,[14 10],circle
red,[60 62],circle
green,[16 11],rectangle
blue,[59 40],circle
orange,[48 21],circle
gray,[35 32],circle
yellow,[19 37],circle
red,[12 27],circle
green,[68 24],circle
blue,[23 12],rectangle
orange,[57 35],rectangle
gray,[21 43],rectangle
yellow,[39 58],rectangle
red,[ 7 42],circle
green,[48 34],circle
blue,[14 22],circle
orange,[63 66],circle
gray,[67 36],circle
yellow,[66 51],circle
red,[16 39],circle
green,[61 17],circle
blue,[43 16],rectangle
orange,[35 66],circle
gray,[ 6 19],circle
yellow,[38 33],circle
red,[10 22],circle
green,[15 69],circle
blue,[69 56],rectangle
orange,[35 21],rectangle
gray,[57 21],rectangle
yellow,[29  6],circle
red,[28 67],rectangle
green,[52 67],rectangle
blue,[32 48],circle
orange,[68 61],circle
gray,[47 27],rectangle
yellow,[41 10],circle
red,[ 6 19],circle
green,[35 60],rectangle
blue,[61 54],rectangle
orange,[ 6 47],rectangle
gray,[42 46],circle
yellow,[69 38],rectangle
red,[58 43],rectangle
green,[33 47],rectangle
blue,[14 63],circle
orange,[30  5],rectangle
gray,[ 6 34],rectangle
yellow,[56 13],rectangle
red,[28  8],circle
green,[22 52],rectangle
blue,[32 39],circle
orange,[14 69],circle
gray,[45 60],rectangle
yellow,[64 41],rectangle
red,[52 37],circle
green,[65 14],rectangle
blue,[ 9 19],rectangle
orange,[27 21],circle
gray,[46 65],rectangle
yellow,[63 54],circle
red,[42 15],rectangle
green,[24 24],circle
blue,[61 54],rectangle
orange,[35 46],rectangle
gray,[ 8 14],rectangle
yellow,[18 42],rectangle
red,[15 24],rectangle
green,[51 56],rectangle
blue,[31 48],circle
orange,[15  8],circle
gray,[52 30],rectangle
yellow,[23 62],circle
red,[27 49],circle
green,[68 50],rectangle
blue,[48 33],circle
orange,[61  9],rectangle
gray,[12 20],rectangle
yellow,[69 26],circle
red,[55 68],circle
green,[22 67],circle
blue,[17 44],rectangle
orange,[47 48],circle
gray,[37 28],rectangle
yellow,[14 24],circle
red,[37  6],rectangle
green,[ 5 62],rectangle
blue,[51 48],rectangle
orange,[28 59],rectangle
gray,[31 27],circle
yellow,[67 69],rectangle
red,[24 35],rectangle
green,[14 14],circle
blue,[43 32],circle
orange,[47 56],circle
gray,[67 65],rectangle
yellow,[28 55],rectangle
red,[23 19],circle
green,[42 30],circle
blue,[55 57],circle
orange,[62 17],circle
gray,[30 49],circle
yellow,[12 42],circle
red,[ 8 50],rectangle
green,[47 37],rectangle
blue,[64  7],circle
orange,[18 62],circle
gray,[ 6 28],circle
yellow,[28 31],circle
red,[46 52],rectangle
green,[34 25],rectangle
blue,[ 5 69],circle
orange,[30 63],circle
gray,[61 53],circle
yellow,[60 69],rectangle
red,[24 28],circle
green,[69 21],circle
blue,[55 31],circle
orange,[65 62],rectangle
gray,[16 50],circle
yellow,[36 57],rectangle
red,[32 69],circle
green,[47 41],rectangle
blue,[65 13],circle
orange,[ 6 47],rectangle
gray,[61 34],rectangle
yellow,[23 11],rectangle
red,[43 59],rectangle
green,[ 5 25],rectangle
blue,[56 47],rectangle
orange,[14 68],rectangle
gray,[27 22],rectangle
yellow,[68 62],rectangle
red,[69 65],rectangle
green,[50 53],circle
blue,[61 18],circle
orange,[16 59],circle
gray,[43 37],rectangle
yellow,[27 34],rectangle
red,[ 7 13],circle
green,[28 17],rectangle
blue,[51 26],circle
orange,[36 68],circle
gray,[43 46],circle
yellow,[60 68],rectangle
red,[26 13],circle
green,[48 49],rectangle
blue,[22 37],rectangle
orange,[59  9],circle
gray,[22 53],rectangle
yellow,[58 65],rectangle
red,[54 60],circle
green,[54 33],circle
blue,[18 27],circle
orange,[31 58],circle
gray,[20 45],rectangle
yellow,[56  6],circle
red,[14 35],circle
green,[9 5],rectangle
blue,[47 64],rectangle
orange,[69 33],rectangle
gray,[40 47],circle
yellow,[37  9],circle
red,[13  6],rectangle
green,[63 23],circle
blue,[18 28],circle
orange,[60 55],rectangle
gray,[45 29],rectangle
yellow,[69 40],rectangle
red,[50 39],rectangle
green,[14 29],circle
blue,[11 50],rectangle
orange,[50 17],rectangle
gray,[8 7],circle
yellow,[32 59],circle
red,[39 15],rectangle
green,[29 52],rectangle
blue,[ 8 42],circle
orange,[51  5],rectangle
gray,[66 68],rectangle
yellow,[66 39],rectangle
red,[22 11],circle
green,[68 11],circle
blue,[ 7 21],circle
orange,[56 26],circle
gray,[10 42],circle
yellow,[39 20],rectangle
red,[19  5],circle
green,[53 33],rectangle
blue,[49 16],circle
orange,[24 55],rectangle
gray,[ 5 31],circle
yellow,[28 27],circle
red,[34 33],rectangle
green,[57 34],rectangle
blue,[47 11],rectangle
orange,[45 58],rectangle
gray,[31 12],rectangle
yellow,[68 14],rectangle
red,[ 8 17],rectangle
green,[10 35],rectangle
blue,[25 27],circle
orange,[56 50],rectangle
gray,[65 15],rectangle
yellow,[69 68],circle
red,[53 20],rectangle
green,[38 37],circle
blue,[67 45],rectangle
orange,[14 19],circle
gray,[52 55],circle
yellow,[26 10],rectangle
red,[23 20],circle
green,[15 43],circle
blue,[29 67],rectangle
orange,[49 65],rectangle
gray,[13  6],circle
yellow,[66 56],circle
red,[23 45],circle
green,[58 59],circle
blue,[69 32],circle
orange,[61 10],circle
gray,[37 21],circle
yellow,[54 41],rectangle
red,[62 58],rectangle
green,[39 19],rectangle
blue,[29 63],rectangle
orange,[10 56],rectangle
gray,[25 36],rectangle
yellow,[66  8],rectangle
red,[24 52],circle
green,[58 33],circle
blue,[52 60],rectangle
orange,[13 38],rectangle
gray,[13 11],circle
yellow,[40 41],circle
red,[41 57],rectangle
green,[25 44],rectangle
blue,[66 18],rectangle
orange,[21 61],circle
gray,[49 37],circle
yellow,[51 10],rectangle
red,[34 46],rectangle
green,[16 53],rectangle
blue,[68 29],rectangle
orange,[11 10],circle
gray,[44 28],circle
yellow,[57 58],circle
red,[55  9],rectangle
green,[ 5 58],circle
blue,[12 29],circle
orange,[32  7],rectangle
gray,[66 31],rectangle
yellow,[29 65],circle
red,[63 26],circle
green,[49 13],rectangle
blue,[48 40],circle
orange,[ 5 38],circle
gray,[25 37],rectangle
yellow,[ 7 55],rectangle
red,[29 19],rectangle
green,[53 47],circle
blue,[51 65],rectangle
orange,[56 19],rectangle
gray,[16 48],circle
yellow,[67 31],rectangle
red,[ 7 53],circle
green,[59 27],circle
blue,[ 7 32],rectangle
orange,[49 63],rectangle
gray,[69  7],rectangle
yellow,[30 27],circle
red,[37 42],rectangle
green,[39 14],circle
blue,[15 28],rectangle
orange,[61 41],circle
gray,[ 5 64],rectangle
yellow,[48 62],rectangle
red,[32 23],rectangle
green,[47 15],circle
blue,[21 58],circle
orange,[ 8 26],rectangle
gray,[43 38],circle
yellow,[16  6],rectangle
red,[40 25],circle
green,[34 48],circle
blue,[28 64],rectangle
orange,[68 24],rectangle
gray,[32  6],rectangle
yellow,[12 17],circle
red,[50 13],rectangle
green,[63 58],rectangle
blue,[68 10],rectangle
orange,[ 9 50],circle
gray,[48 67],rectangle
yellow,[56 30],rectangle
red,[48 37],rectangle
green,[24 40],rectangle
blue,[36 49],circle
orange,[57 55],rectangle
gray,[66 22],circle
yellow,[29 22],rectangle
red,[63 63],circle
green,[51 17],circle
blue,[37 66],circle
orange,[10 19],rectangle
gray,[68 38],rectangle
yellow,[13 67],rectangle
red,[29 20],circle
green,[47 18],rectangle
blue,[27 64],rectangle
orange,[17 10],circle
gray,[54 56],rectangle
yellow,[65 12],rectangle
red,[13 42],rectangle
green,[53 19],rectangle
blue,[34 24],rectangle
orange,[11 12],rectangle
gray,[48 54],circle
yellow,[39  5],circle
red,[63 10],circle
green,[27 14],rectangle
blue,[55 46],circle
orange,[42 66],circle
gray,[30 30],rectangle
yellow,[13 65],rectangle
red,[51 13],circle
green,[33 41],rectangle
blue,[68 28],circle
orange,[27 17],rectangle
gray,[49 69],rectangle
yellow,[9 9],circle
red,[52 66],rectangle
green,[63 12],circle
blue,[43 49],circle
orange,[42 15],rectangle
gray,[24 21],circle
yellow,[64 27],circle
red,[46 51],circle
green,[38 22],circle
blue,[64 46],circle
orange,[11  9],rectangle
gray,[66 21],rectangle
yellow,[ 7 41],rectangle
red,[ 7 23],rectangle
green,[58 14],circle
blue,[17 55],rectangle
orange,[28 39],circle
gray,[44 58],rectangle
yellow,[66 37],rectangle
red,[18 64],circle
green,[33 51],circle
blue,[42 31],circle
orange,[ 7 14],circle
gray,[52  9],circle
yellow,[30 11],circle
red,[37 40],circle
green,[25 31],rectangle
blue,[66 30],rectangle
orange,[11 41],rectangle
gray,[15  5],rectangle
yellow,[57 60],circle
red,[ 5 61],circle
green,[20 55],rectangle
blue,[59  5],rectangle
orange,[57 62],circle
gray,[63 26],circle
yellow,[53 46],circle
red,[14 57],circle
green,[61 31],circle
blue,[ 8 27],rectangle
orange,[46  7],rectangle
gray,[32 67],rectangle
yellow,[58 61],rectangle
red,[58 52],rectangle
green,[10 38],circle
blue,[52 27],circle
orange,[30 57],rectangle
gray,[40 12],circle
yellow,[26 20],rectangle
red,[13 49],circle
green,[28 14],rectangle
blue,[52 39],rectangle
orange,[44 24],rectangle
gray,[58 16],circle
yellow,[69 48],circle
red,[37 13],rectangle
green,[40 48],rectangle
blue,[64 67],rectangle
orange,[22 54],circle
gray,[ 9 46],rectangle
yellow,[62 12],circle
red,[31 26],circle
